section_number,title_en,title_ar,content_en,content_ar,order,active
1,Welcome to Bitiq.ai,مرحباً بك في Bitiq.ai,"Bitiq.ai is your AI-powered trading companion. It analyzes the crypto market 24/7, identifies high-quality trade opportunities, and sends you signals directly to your dashboard or private Telegram channel.

You can:
• Receive AI-generated trading signals in real time.
• Use Bitiq.ai Copilot, your personal AI assistant, to analyze and plan your trades.
• Enable AutoTrade to automatically execute signals on your connected exchange.

💡 You stay in full control. Bitiq.ai never touches your funds — it only provides tools and automation to help you trade smarter.","Bitiq.ai هي منصة تداول مدعومة بالذكاء الاصطناعي تساعدك على التداول بذكاء وثقة. يقوم النظام بتحليل سوق العملات الرقمية على مدار الساعة لاكتشاف أفضل الفرص وإرسال الإشارات مباشرة إلى لوحة التحكم أو قناتك الخاصة على Telegram.

يمكنك من خلال Bitiq.ai:
• استلام إشارات تداول لحظية مدعومة بالذكاء الاصطناعي.
• استخدام المساعد الذكي Copilot لتحليل الإشارات واتخاذ قرارات أدق.
• تفعيل التداول التلقائي AutoTrade لتنفيذ الإشارات تلقائياً في حسابك على المنصة.

💡 أنت المتحكم الكامل في أموالك. Bitiq.ai لا تسحب، لا تودع، ولا تمتلك صلاحية الوصول إلى رصيدك — دورها فقط توفير الأدوات والذكاء اللازمين لتداول أذكى.",0,true
2,Getting Started,البدء مع Bitiq.ai,"Step 1 – Create Your Account
• Visit bitiq.ai and click Sign Up.
• Enter your name, email, and password, then accept the terms.
• Or sign up using your Google account (no password required).

⚠️ Note: If you register with Google, you cannot change your password inside Bitiq.ai since it's managed by Google.

Step 2 – Log In
After signing up, log in to access your main dashboard — the Signal Page, where you'll see real-time trading signals and updates.

Step 3 – Customize Your Experience
From the sidebar:
• Switch between Light / Dark Mode
• Choose your Language (Arabic / English)
• Access your Profile, My Subscription, and Community sections

Invite a Friend
Invite your friends to experience Bitiq.ai — both of you benefit.

How it works:
  • Go to Profile → Account → Invite a Friend.
  • Enter your friend's email and send the invitation.
  • Your friend receives 3 days of full access to Bitiq.ai.
  • Once they activate their trial, you gain 1 extra day on your own subscription.

💡 There's no limit — invite more friends, earn more days.","الخطوة 1 – إنشاء الحساب
• ادخل إلى bitiq.ai واضغط على تسجيل جديد.
• أدخل الاسم، البريد الإلكتروني، وكلمة المرور، ثم وافق على الشروط.
• يمكنك أيضاً التسجيل باستخدام حساب Google (بدون كلمة مرور داخلية).

⚠️ ملاحظة: المستخدمون الذين يسجلون عبر Google لا يمكنهم تغيير كلمة المرور داخل المنصة لأن النظام لا يحتفظ بها.

الخطوة 2 – تسجيل الدخول
بعد التسجيل، قم بتسجيل الدخول لتنتقل مباشرة إلى لوحة الإشارات — الصفحة الرئيسية التي تعرض أحدث الإشارات والتحليلات في الوقت الفعلي.

الخطوة 3 – تخصيص الإعدادات
من القائمة الجانبية يمكنك:
• التبديل بين الوضع الفاتح / الداكن
• اختيار اللغة (العربية أو الإنجليزية)
• الوصول إلى الملف الشخصي، الاشتراك، والمجتمع

دعوة الأصدقاء
يمكنك دعوة أصدقائك لتجربة Bitiq.ai والحصول على فائدة مشتركة.

طريقة العمل:
   • انتقل إلى الملف الشخصي → الحساب → دعوة صديق.
   • أدخل البريد الإلكتروني لصديقك وأرسل الدعوة.
   • سيحصل صديقك على تجربة مجانية لمدة 3 أيام مع وصول كامل لكل الميزات.
   • عند تفعيل حسابه، ستحصل أنت على يوم إضافي مجاني في اشتراكك الحالي.

💡 لا يوجد حد لعدد الدعوات — شارك أكثر، واكسب أياماً إضافية أكثر.",1,true
3,Choosing and Paying for a Plan,اختيار الخطة والدفع,"Available Plans:
• Free Plan: $0 — 24-hour trial, limited signals, 3 Copilot messages/day
• Monthly Plan: $59 — Full access to Signals, Copilot, and AutoTrade
• Lifetime Plan: $399 one-time — Permanent access to all features + premium support

How to Subscribe:
    • Go to Profile → My Subscription.
    • Choose your preferred plan (Monthly or Lifetime).
    • You'll be redirected to OxaPay.
    • Select your payment cryptocurrency (SOL, USDT, USDC, BTC, or ETH).
    • After payment, you'll automatically gain full access to all features.

💰 Payments are secure through crypto. No auto-renewal — renew manually when your plan expires. No refunds on crypto transactions.","الخطط المتوفّرة:
• الخطة المجانية: 0 دولار — تجربة لمدة 24 ساعة، إشارات محدودة، 3 رسائل Copilot يومياً.
• الخطة الشهرية: 59 دولار — وصول كامل لجميع الإشارات + Copilot غير محدود + AutoTrade.
• الخطة الدائمة: 399 دولار لمرة واحدة — وصول مدى الحياة + دعم مميز.

طريقة الاشتراك:
    • انتقل إلى الملف الشخصي → اشتراكي.
    • اختر الخطة المناسبة (شهرية أو مدى الحياة).
    • سيتم تحويلك إلى بوابة الدفع OxaPay.
    • اختر العملة الرقمية التي ترغب بالدفع بها (SOL, USDT, USDC, BTC, ETH...).
    • بعد الدفع، ستحصل على الوصول الكامل فوراً.

💰 الدفع يتم عبر العملات الرقمية بشكل آمن. لا يوجد تجديد تلقائي — قم بالتجديد يدوياً عند انتهاء المدة. لا يوجد استرجاع للأموال في المدفوعات الرقمية.",2,true
4,Connecting Telegram,ربط حساب Telegram,"Paid users can receive instant trade alerts through private Telegram channels.

How to Connect:
• Go to Profile → Account → Setup Telegram.
• Copy your One-Time Code and click the Telegram Bot Link.
• Open the bot in Telegram and send your code.
• Choose your preferred signal language (Arabic or English).
• You'll be automatically added to your private signal channel.

Each Telegram signal includes: trading pair, entry price, TP/SL, leverage suggestion, AI summary, and AI Score (A–C).","يمكن للمشتركين المدفوعين استلام الإشارات فوراً عبر قنوات Telegram الخاصة.

خطوات الربط:
 •  انتقل إلى الملف الشخصي → الحساب → إعداد Telegram.
 • انسخ الكود لمرة واحدة (OTP) واضغط على رابط البوت.
 • افتح البوت في تطبيق Telegram وأرسل الكود.
 • اختر لغة الإشارات (العربية أو الإنجليزية).
 • سيتم إضافتك تلقائياً إلى القناة الخاصة بلغتك.

كل إشعار يتضمّن: زوج العملة، نقطة الدخول، أهداف الربح، وقف الخسارة، الرافعة المالية، وتحليل الذكاء الاصطناعي.",3,true
5,Understanding Signals,فهم الإشارات,"Bitiq.ai signals are created by our AI engine and verified by experienced traders. They cover 250+ crypto pairs across 15m, 1h, 4h, and 1D timeframes.

Example:
• Pair: BTCUSDT
• Type: LONG
• Entry: 105,250
• Stop Loss: 104,800
• Take Profits: 106,000 / 106,700 / 107,500
• AI Score: A (Strong Setup)

⚠️ Disclaimer: Bitiq.ai signals are insights, not financial advice. Always manage your risk and never invest more than you can afford to lose.","تُنشأ إشارات Bitiq.ai بواسطة الذكاء الاصطناعي وتُراجع من قبل فريق تداول مختص. تغطي الإشارات أكثر من 250 زوج عملة عبر أُطر زمنية مختلفة: 15 دقيقة، ساعة، 4 ساعات، ويوم واحد.

مثال على إشارة تداول:
• الزوج: BTCUSDT
• النوع: شراء (LONG)
• الدخول: 105,250
• وقف الخسارة: 104,800
• أهداف الربح: 106,000 / 106,700 / 107,500
• تقييم الذكاء: A (فرصة قوية)

⚠️ تنويه: إشارات Bitiq.ai أدوات تحليلية وليست توصيات مالية. تحكّم في مخاطر تداولك ولا تستثمر أكثر مما يمكنك تحمّل خسارته.",4,true
6,Using Bitiq.ai Copilot,استخدام المساعد الذكي Copilot,"Copilot is your personal AI assistant. Ask it questions like:
• Is this signal still valid?
• What's the best risk level for this trade?
• How should I adjust my targets?
• What's the on-chain trend for BTC?
• I have 1000 USDT — what's the market sentiment for long-term holding?

Free users: 3 messages/day. Paid users: unlimited Copilot access included.

⚠️ Copilot provides analysis — not execution or financial advice.","Copilot هو مساعدك الشخصي المدعوم بالذكاء الاصطناعي. يمكنك سؤاله عن أي شيء مثل:
• هل الإشارة ما زالت صالحة؟
• ما أفضل نسبة مخاطرة لهذه الصفقة؟
• كيف يمكنني ضبط أهدافي؟
• ما اتجاه السوق العام على السلسلة؟
• أملك 1000 USDT — كيف يبدو شعور السوق للمستثمرين على المدى الطويل؟

المستخدمون المجانيون: 3 رسائل يومياً. المشتركون المدفوعون: وصول غير محدود إلى Copilot مضمّن في الخطة.

⚠️ ملاحظة: Copilot لا ينفّذ الصفقات. وظيفته دعم قراراتك وليس اتخاذها عنك.",5,true
7,Setting Up AutoTrade,إعداد التداول التلقائي AutoTrade,"AutoTrade executes trades automatically based on verified AI signals, while your funds remain in your exchange account.

Supported Exchanges: Binance, Bybit, OKX, KuCoin.

How It Works:
 • Go to Dashboard → AutoTrade.
 • Connect your exchange using API keys.
 • Set your capital allocation per trade.
 • AutoTrade uses the Stop Loss, Take Profit, and Leverage from each signal.
 • Enable AutoTrade.

💡 Let data drive your trades — stay consistent, trust the system, and focus on strategy.","AutoTrade تنفّذ إشارات التداول تلقائياً بناءً على إشارات Bitiq.ai الذكية، بينما تبقى أموالك داخل حسابك في المنصة.

المنصات المدعومة: Binance, Bybit, OKX, KuCoin.

طريقة العمل:
    • افتح لوحة التحكم → AutoTrade.
    • اربط حسابك عبر مفاتيح API الخاصة بك (تُخزن بشكل مشفّر وآمن).
    • حدّد رأس المال المستخدم في كل صفقة.
    • يستخدم النظام وقف الخسارة، أهداف الربح، والرافعة المالية المحددة داخل كل إشارة.
    • فعّل التداول التلقائي.

💡 دع البيانات تقود تداولك — التزم بالنظام، وثق بالتحليل، وركّز على الاستراتيجية.",6,true
8,Risk & Responsibility,المخاطر والمسؤولية,"Trading cryptocurrencies involves real risk and potential capital loss. Bitiq.ai supports your decisions through data and automation — but never replaces your judgment.

⚠️ Always remember:
• Bitiq.ai is not a financial advisor.
• No tool guarantees profit or removes risk.
• You're responsible for all trades.","التداول في العملات الرقمية يحتوي على مخاطر وقد يؤدي إلى خسارة رأس المال. دور Bitiq.ai هو دعم قراراتك بالتحليل والذكاء الاصطناعي، وليس اتخاذها بدلاً منك.

⚠️ تذكّر:
• Bitiq.ai ليست مستشاراً مالياً.
• لا يوجد نظام يضمن الربح.
• كل عملية تداول مسؤوليتها على المستخدم.",7,true
9,Support & Help,الدعم والمساعدة,"Need assistance? We're here to help.

Email: hello@bitiq.ai
Website: https://www.bitiq.ai
Typical response time: within 24 hours (business days).

Legal & Risk Disclosure, Privacy Policy, and Terms of Service are available at the bottom of https://www.bitiq.ai.","هل تحتاج إلى مساعدة؟ نحن هنا لدعمك.

البريد الإلكتروني: hello@bitiq.ai
الموقع: https://www.bitiq.ai
الرد خلال 24 ساعة في أيام العمل.

الصفحات القانونية (سياسات الخصوصية، شروط الاستخدام، إفصاح المخاطر) متاحة في أسفل موقع https://www.bitiq.ai.",8,true

